Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Offensive Points,Defensive Points,Offensive and Defensive Points,Positional Adjustment,Points Per Win,PAR
Cole Anthony,PG,47,1273,219,552,0.397,58,172,0.337,161,380,0.424,0.449,109,131,0.832,38,183,221,192,30,18,106,98,605,1510.405,316,1826.405,0.368344907,37.21838178,15.51
Derrick Rose,PG,50,1279,287,611,0.47,50,129,0.388,237,482,0.492,0.511,110,127,0.866,20,110,130,209,49,19,78,56,734,1885.784,294,2179.784,0.370081019,44.31978108,15.63
John Wall,PG,40,1288,293,726,0.404,79,249,0.317,214,477,0.449,0.458,158,211,0.749,17,112,129,275,42,31,141,46,823,2069.114,306,2375.114,0.372685185,49.00621118,15.49
Monte Morris,PG,47,1196,186,387,0.481,51,134,0.381,135,253,0.534,0.547,58,73,0.795,11,85,96,150,34,13,34,48,481,1325.622,200,1525.622,0.346064815,31.95652174,13.95
Jordan McLaughlin,PG,51,938,100,242,0.413,33,92,0.359,67,150,0.447,0.481,23,30,0.767,21,87,108,193,51,6,51,44,256,963.34,266,1229.34,0.271412037,22.65031983,12.16
D.J. Augustin,PG,57,1129,135,343,0.394,83,217,0.382,52,126,0.413,0.515,85,94,0.904,20,74,94,188,28,1,65,56,438,1269.888,141,1410.888,0.326678241,30.93268379,12.33
D'Angelo Russell,PG,42,1196,281,652,0.431,120,310,0.387,161,342,0.471,0.523,114,149,0.765,16,95,111,244,45,18,112,68,796,2008.502,223,2231.502,0.346064815,50.91973244,12.60
Cameron Payne,PG,60,1079,191,395,0.484,73,166,0.44,118,229,0.515,0.576,50,56,0.893,16,128,144,217,36,16,60,97,505,1502.151,202,1704.151,0.312210648,36.6978684,11.93
Immanuel Quickley,PG,64,1243,229,580,0.395,118,303,0.389,111,277,0.401,0.497,155,174,0.891,25,112,137,127,30,12,58,114,731,1698.834,123,1821.834,0.359664352,45.34271923,11.88
Brad Wanamaker,PG,61,1053,115,299,0.385,16,85,0.188,99,214,0.463,0.411,90,101,0.891,18,87,105,174,43,11,71,94,336,1003.059,144,1147.059,0.3046875,25.97435897,10.89
Aaron Holiday,PG,66,1176,170,436,0.39,67,182,0.368,103,254,0.406,0.467,68,83,0.819,15,74,89,123,46,13,66,94,475,1140.495,126,1266.495,0.340277778,32.08163265,10.86
Ish Smith,PG,44,924,129,297,0.434,18,49,0.367,111,248,0.448,0.465,19,33,0.576,22,128,150,172,32,13,41,62,295,1008.759,263,1271.759,0.267361111,25.98701299,10.51
De'Anthony Melton,PG,52,1045,172,393,0.438,87,211,0.412,85,182,0.467,0.548,41,51,0.804,30,131,161,132,60,31,66,85,472,1176.744,333,1509.744,0.302372685,35.52057416,10.28
Malachi Flynn,PG,47,928,127,340,0.374,54,168,0.321,73,172,0.424,0.453,45,56,0.804,10,106,116,137,38,7,43,68,353,1002.281,207,1209.281,0.268518519,30.38793103,8.12
Jeff Teague,PG,55,950,123,284,0.433,36,82,0.439,87,202,0.431,0.496,89,105,0.848,15,73,88,132,34,12,64,56,371,965.853,163,1128.853,0.274884259,31.11789474,7.40
Rajon Rondo,PG,45,770,95,215,0.442,36,89,0.404,59,126,0.468,0.526,16,17,0.941,18,92,110,199,37,4,79,53,242,867.087,211,1078.087,0.222800926,25.62857143,6.80
Kira Lewis Jr.,PG,54,904,130,337,0.386,40,120,0.333,90,217,0.415,0.445,43,51,0.843,12,59,71,124,38,10,34,88,343,972.418,78,1050.418,0.261574074,30.31858407,6.49
Saben Lee,PG,48,781,99,210,0.471,8,23,0.348,91,187,0.487,0.49,61,89,0.685,20,77,97,174,32,13,55,76,267,915.079,131,1046.079,0.225983796,27.61459667,5.99
Trey Burke,PG,62,911,151,353,0.428,58,164,0.354,93,189,0.492,0.51,51,57,0.895,10,44,54,81,36,7,33,64,411,980.767,85,1065.767,0.263599537,35.48298573,5.35
Patrick Beverley,PG,37,832,93,220,0.423,56,141,0.397,37,79,0.468,0.55,36,45,0.8,29,90,119,76,29,28,34,108,278,715.691,108,823.691,0.240740741,27.05769231,4.76
Chasson Randle,PG,41,837,92,237,0.388,44,130,0.338,48,107,0.449,0.481,38,48,0.792,7,75,82,74,22,5,46,64,266,627.352,100,727.352,0.2421875,25.88172043,4.24
Jevon Carter,PG,60,717,94,223,0.422,56,151,0.371,38,72,0.528,0.547,4,7,0.571,16,76,92,71,29,9,16,56,248,680.92,152,832.92,0.207465278,27.90376569,3.62
Killian Hayes,PG,26,670,71,201,0.353,20,72,0.278,51,129,0.395,0.403,14,17,0.824,6,63,69,138,27,10,83,57,176,527.112,109,636.112,0.193865741,21.91343284,3.06
George Hill,PG,30,672,95,197,0.482,31,80,0.388,64,117,0.547,0.561,40,50,0.8,16,45,61,73,23,5,31,31,261,668.686,118,786.686,0.194444444,30.96428571,2.37
Mychal Mulder,PG,60,766,119,265,0.449,85,214,0.397,34,51,0.667,0.609,14,22,0.636,8,52,60,26,12,12,16,56,337,716.317,48,764.317,0.221643519,34.67624021,2.32
Frank Jackson,PG,40,738,134,293,0.457,61,150,0.407,73,143,0.51,0.561,61,75,0.813,15,71,86,36,15,1,34,53,390,805.782,97,902.782,0.213541667,41.04878049,2.13
Brandon Goodwin,PG,47,620,84,223,0.377,32,103,0.311,52,120,0.433,0.448,28,43,0.651,8,61,69,95,17,0,36,41,228,644.782,99,743.782,0.179398148,29.47741935,1.96
Gabe Vincent,PG,50,655,88,233,0.378,46,149,0.309,42,84,0.5,0.476,20,23,0.87,10,46,56,67,21,2,34,79,242,597.489,9,606.489,0.189525463,29.60152672,1.31
Ryan Arcidiacono,PG,44,450,49,117,0.419,25,67,0.373,24,50,0.48,0.526,13,20,0.65,5,62,67,56,9,0,10,47,136,419.121,62,481.121,0.130208333,24.76,-0.04
Dennis Smith Jr.,PG,23,420,58,145,0.4,19,58,0.328,39,87,0.448,0.466,19,26,0.731,12,43,55,77,23,14,26,37,154,477.109,107,584.109,0.121527778,29.4,-0.16
Nico Mannion,PG,30,364,39,114,0.342,22,60,0.367,17,54,0.315,0.439,23,28,0.821,6,40,46,70,16,1,31,29,123,373.442,77,450.442,0.105324074,27.32967033,-0.83
Matthew Dellavedova,PG,13,224,14,56,0.25,4,25,0.16,10,31,0.323,0.286,4,4,1,6,18,24,58,4,1,6,21,36,238.052,13,251.052,0.064814815,14.57142857,-1.45
Trent Forrest,PG,30,302,32,71,0.451,5,26,0.192,27,45,0.6,0.486,19,19,1,11,33,44,45,9,4,21,22,88,263.548,64,327.548,0.087384259,23.98013245,-1.38
Frank Ntilikina,PG,33,322,29,79,0.367,23,48,0.479,6,31,0.194,0.513,8,18,0.444,6,25,31,19,18,4,11,45,89,211.795,24,235.795,0.093171296,22.90062112,-1.61
Tre Jones,PG,37,269,37,78,0.474,3,5,0.6,34,73,0.466,0.494,17,19,0.895,8,13,21,39,8,0,13,13,94,279.473,32,311.473,0.077835648,28.1598513,-1.71
Chris Chiozza,PG,22,232,31,88,0.352,13,42,0.31,18,46,0.391,0.426,13,17,0.765,3,21,24,65,7,6,16,19,88,330.077,34,364.077,0.06712963,30.31034483,-1.76
Tremont Waters,PG,26,238,34,84,0.405,15,38,0.395,19,46,0.413,0.494,16,17,0.941,5,16,21,62,15,1,27,17,99,312.996,49,361.996,0.068865741,32.94957983,-1.81
Mike James,PG,13,236,34,92,0.37,11,31,0.355,23,61,0.377,0.429,21,27,0.778,3,29,32,54,6,1,20,10,100,309.257,60,369.257,0.068287037,33.50847458,-1.82
Kyle Guy,PG,31,235,29,88,0.33,13,46,0.283,16,42,0.381,0.403,16,20,0.8,5,30,35,32,6,0,11,20,87,246.055,43,289.055,0.067997685,29.65531915,-1.91
Markelle Fultz,PG,8,215,41,104,0.394,4,16,0.25,37,88,0.42,0.413,17,19,0.895,5,20,25,43,8,2,18,18,103,290.261,35,325.261,0.062210648,37.49302326,-2.03
Jordan Bone,PG,14,196,23,54,0.426,10,32,0.313,13,22,0.591,0.519,0,0,,4,20,24,18,2,0,3,11,56,162.977,28,190.977,0.056712963,23.57142857,-2.11
Yogi Ferrell,PG,10,136,20,57,0.351,9,28,0.321,11,29,0.379,0.43,7,9,0.778,5,14,19,22,7,3,3,11,56,178.157,35,213.157,0.039351852,32.64705882,-2.31
Quinn Cook,PG,23,157,29,68,0.426,11,26,0.423,18,42,0.429,0.507,7,8,0.875,2,15,17,18,4,1,7,10,76,191.908,25,216.908,0.045428241,37.85350318,-2.31
