Player,Pos,G,MP,X3P.,eFG.,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS.,USG.,WS,WS.48,BPM,VORP,TeamTotalPoints,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
Joe Harris,SF,69,2141,0.475,0.654,0.778,43,205,248,130,46,14,62,141,974,14.1,0.663,16.2,5.2,0.117,0.4,1.3,8537,200,250,80,2,3,2,-4,3,3.5,4,4,-3
Tobias Harris,PF,62,2014,0.394,0.556,0.892,62,357,419,220,55,51,107,119,1210,20,0.597,23.9,7.1,0.17,3.7,2.9,8182,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Shaquille Harrison,SG,34,333,0.188,0.353,0.818,7,41,48,25,17,5,11,33,73,6.8,0.416,12.9,0.2,0.03,-4.1,-0.2,8284,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Josh Hart,SF,47,1349,0.326,0.531,0.775,53,324,377,109,38,12,49,111,434,12.2,0.566,13.5,2.7,0.097,-0.8,0.4,8251,200,250,80,2,3,2,-4,3,3.5,4,4,-3
Isaiah Hartenstein,C,46,559,0.333,0.556,0.648,65,116,181,55,19,39,44,104,236,17.9,0.583,19.2,1.6,0.134,-0.9,0.2,8284,200,200,60,3,2,2,-3,4,4,3,5,-3
Udonis Haslem,C,1,3,0,1,0,0,1,1,0,0,0,0,0,4,54.6,1,30.1,0,0.475,31.1,0,7781,200,200,60,3,2,2,-3,4,4,3,5,-3
Jaxson Hayes,C,60,964,0.429,0.636,0.775,92,165,257,35,25,38,39,101,449,19.1,0.675,16.2,3.5,0.176,0.6,0.6,8251,200,200,60,3,2,2,-3,4,4,3,5,-3
Killian Hayes,PG,26,670,0.278,0.403,0.824,6,63,69,138,27,10,83,57,176,5.3,0.422,19,-1.1,-0.081,-7.2,-0.9,7676,200,300,100,1,4,2,-5,2,3,5,3,-3
Gordon Hayward,SF,44,1496,0.415,0.537,0.843,37,221,258,181,52,14,91,74,863,17.6,0.584,23.9,3.5,0.114,1.6,1.4,7881,200,250,80,2,3,2,-4,3,3.5,4,4,-3
Juancho Hernangómez,PF,52,900,0.327,0.527,0.619,45,160,205,35,19,7,27,52,375,12.1,0.549,17.2,1.1,0.06,-2.9,-0.2,8073,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Willy Hernangómez,C,47,846,0.1,0.565,0.667,117,217,334,50,22,23,34,68,365,19.6,0.591,17,2.9,0.163,0,0.4,8251,200,200,60,3,2,2,-3,4,4,3,5,-3
Tyler Herro,SG,54,1635,0.36,0.516,0.803,25,243,268,184,35,17,101,71,815,13.3,0.543,23.5,1.7,0.049,-1.3,0.3,7781,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Buddy Hield,SG,71,2433,0.391,0.548,0.846,29,305,334,257,63,30,130,175,1176,12.8,0.567,20.7,2.2,0.044,-0.6,0.9,8189,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
George Hill,PG,30,672,0.388,0.561,0.8,16,45,61,73,23,5,31,31,261,13.1,0.596,15.9,1.4,0.1,-1.2,0.1,8182,200,300,100,1,4,2,-5,2,3,5,3,-3
Solomon Hill,PF,71,1513,0.321,0.473,0.761,42,172,214,75,50,11,42,116,317,6.7,0.498,10.4,1.3,0.04,-2.5,-0.2,8186,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Nate Hinton,SG,21,93,0.211,0.405,0.7,1,8,9,8,7,2,5,8,41,10.4,0.442,24.4,0,-0.015,-3.4,0,8096,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Jaylen Hoard,SF,19,320,0,0.5,0.683,21,44,65,24,13,5,17,19,116,13.4,0.547,16.3,0.5,0.07,-2.5,0,7560,200,250,80,2,3,2,-4,3,3.5,4,4,-3
Aaron Holiday,PG,66,1176,0.368,0.467,0.819,15,74,89,123,46,13,66,94,475,9.2,0.503,19.5,0.2,0.009,-4.2,-0.7,8302,200,300,100,1,4,2,-5,2,3,5,3,-3
Jrue Holiday,PG,59,1907,0.392,0.57,0.787,73,195,268,357,96,37,127,98,1046,20,0.592,22.2,6.6,0.165,3.4,2.6,8649,200,300,100,1,4,2,-5,2,3,5,3,-3
Justin Holiday,SG,72,2183,0.382,0.551,0.788,32,224,256,119,74,41,54,135,756,10.4,0.571,14,3.1,0.069,-1,0.6,8302,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Rondae Hollis-Jefferson,PF,11,107,0,0.5,0.563,11,15,26,13,2,4,2,15,27,14.4,0.539,10.9,0.3,0.147,0.1,0.1,8360,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Richaun Holmes,C,61,1782,0.182,0.638,0.794,144,360,504,101,39,96,75,213,869,20.2,0.669,17.5,6.1,0.165,0.6,1.2,8189,200,200,60,3,2,2,-3,4,4,3,5,-3
Rodney Hood,SF,55,942,0.301,0.427,0.857,23,80,103,53,24,7,36,74,246,5.6,0.452,14.1,-0.4,-0.019,-6.4,-1,8360,200,250,80,2,3,2,-4,3,3.5,4,4,-3
Al Horford,C,28,782,0.368,0.528,0.818,29,159,188,94,25,26,29,48,398,17.4,0.538,21.6,1.6,0.101,3.4,1.1,7560,200,200,60,3,2,2,-3,4,4,3,5,-3
Talen Horton-Tucker,SG,65,1304,0.282,0.496,0.775,25,144,169,181,63,21,105,127,585,12.9,0.536,21.7,2.1,0.078,-1.2,0.3,7887,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Danuel House Jr.,SF,36,932,0.346,0.504,0.651,18,114,132,69,20,16,36,67,315,9.1,0.525,15.3,0.5,0.026,-3.5,-0.3,7833,200,250,80,2,3,2,-4,3,3.5,4,4,-3
Dwight Howard,C,69,1196,0.25,0.596,0.576,190,390,580,61,30,62,112,200,482,17.8,0.61,18.2,4,0.159,-1.5,0.1,8182,200,200,60,3,2,2,-3,4,4,3,5,-3
Markus Howard,SG,37,205,0.277,0.462,0.778,1,20,21,18,4,1,18,23,105,6.4,0.477,27.2,-0.3,-0.068,-8.7,-0.3,8284,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Kevin Huerter,SG,69,2126,0.363,0.528,0.781,38,193,231,241,82,18,79,165,822,12.2,0.541,17.2,3.6,0.08,-0.3,1,8186,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Elijah Hughes,SF,18,64,0.348,0.467,0.75,1,8,9,6,1,1,6,1,31,8.4,0.488,25.4,0,-0.013,-2.8,0,8382,200,250,80,2,3,2,-4,3,3.5,4,4,-3
De'Andre Hunter,SF,23,678,0.326,0.546,0.859,17,93,110,44,19,12,29,59,344,15.7,0.603,20.2,1.7,0.123,1.2,0.5,8186,200,250,80,2,3,2,-4,3,3.5,4,4,-3
Chandler Hutchison,SF,25,346,0.364,0.417,0.84,6,72,78,17,12,5,20,33,107,6.8,0.469,16.2,-0.1,-0.007,-5.6,-0.3,8398,200,250,80,2,3,2,-4,3,3.5,4,4,-3
