Player,Pos,G,MP,X3P.,eFG.,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS.,USG.,WS,WS.48,BPM,VORP,TeamTotalPoints,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
Jakob Poeltl,C,69,1845,0,0.616,0.508,219,328,547,134,47,123,83,172,593,17.5,0.612,13.4,5.7,0.148,0.8,1.3,7998,200,200,60,3,2,2,-3,4,4,3,5,-3
Vincent Poirier,C,10,39,0,0.25,0.333,6,8,14,2,0,3,4,8,8,1.6,0.273,20.6,-0.1,-0.127,-14.8,-0.1,8182,200,200,60,3,2,2,-3,4,4,3,5,-3
Aleksej Pokusevski,PF,45,1090,0.28,0.412,0.738,30,182,212,97,20,42,99,58,367,6.1,0.43,20.5,-1.9,-0.084,-6.1,-1.1,7560,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Jordan Poole,SG,51,988,0.351,0.535,0.882,15,77,92,99,26,9,51,86,612,15.1,0.581,25,1.9,0.094,-0.5,0.4,8187,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Jontay Porter,PF,11,54,0.375,0.633,0.6,4,10,14,1,3,1,7,12,22,9.2,0.64,18.9,0,0.019,-6.5,-0.1,8157,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Kevin Porter Jr.,SG,26,835,0.311,0.493,0.734,20,79,99,164,19,8,91,61,431,12.5,0.528,25.4,0,0,-3.5,-0.3,7833,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Michael Porter Jr.,SF,61,1912,0.445,0.646,0.791,91,354,445,70,40,54,77,126,1162,20.6,0.663,21.7,6.9,0.173,3.1,2.5,8284,200,250,80,2,3,2,-4,3,3.5,4,4,-3
Otto Porter Jr.,SF,28,606,0.375,0.518,0.857,28,124,152,55,16,4,25,41,271,14.5,0.552,19.3,1.3,0.101,0,0.3,7969,200,250,80,2,3,2,-4,3,3.5,4,4,-3
Bobby Portis,C,66,1372,0.471,0.585,0.74,124,342,466,71,52,26,56,115,754,19.9,0.598,20.9,4.8,0.167,1.5,1.2,8649,200,200,60,3,2,2,-3,4,4,3,5,-3
Kristaps Porziņģis,C,43,1327,0.376,0.547,0.855,82,299,381,68,20,58,51,115,865,21.3,0.582,26.5,4.3,0.154,2.2,1.4,8096,200,200,60,3,2,2,-3,4,4,3,5,-3
Dwight Powell,C,58,966,0.238,0.631,0.782,80,154,234,63,36,30,40,135,342,16.8,0.688,13.2,3.8,0.188,0.6,0.6,8096,200,200,60,3,2,2,-3,4,4,3,5,-3
Norman Powell,SG,69,2205,0.411,0.57,0.871,42,173,215,129,82,18,119,160,1283,16.2,0.618,22.6,4.7,0.103,0.4,1.3,8011,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Taurean Prince,PF,41,905,0.4,0.495,0.855,19,123,142,76,28,23,47,75,389,12.1,0.54,19.6,1,0.052,-1.8,0,7476,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Payton Pritchard,SG,66,1268,0.411,0.562,0.889,33,125,158,120,37,9,53,104,510,12.4,0.582,16.7,2.5,0.095,-0.7,0.4,8109,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Immanuel Quickley,PG,64,1243,0.389,0.497,0.891,25,112,137,127,30,12,58,114,731,15.8,0.557,25.6,3.2,0.125,0.9,0.9,7706,200,300,100,1,4,2,-5,2,3,5,3,-3
Jahmi'us Ramsey,SG,13,94,0.263,0.461,1,2,8,10,6,4,1,3,8,40,10.5,0.498,19.8,0,0.012,-4.5,-0.1,8189,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Chasson Randle,PG,41,837,0.338,0.481,0.792,7,75,82,74,22,5,46,64,266,7.4,0.515,15.7,0,-0.001,-5.9,-0.8,7488,200,300,100,1,4,2,-5,2,3,5,3,-3
Julius Randle,PF,71,2667,0.411,0.516,0.811,84,639,723,427,64,18,241,225,1712,19.7,0.567,29.3,7.8,0.14,3.8,3.9,7706,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Cam Reddish,SF,26,750,0.262,0.428,0.817,22,82,104,35,33,9,34,68,292,9.3,0.488,19.3,0.4,0.026,-3.2,-0.2,8186,200,250,80,2,3,2,-4,3,3.5,4,4,-3
J.J. Redick,SG,44,723,0.371,0.521,0.942,4,60,64,51,11,3,36,50,327,9.9,0.564,19.2,0.7,0.045,-3.5,-0.3,8251,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Paul Reed,PF,26,177,0,0.538,0.5,30,31,61,12,10,13,12,29,88,21.2,0.54,22.7,0.6,0.162,-1,0,8182,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Naz Reid,C,70,1347,0.351,0.576,0.693,82,240,322,72,34,76,69,179,784,18.2,0.599,22.5,3.2,0.113,-0.2,0.6,8073,200,200,60,3,2,2,-3,4,4,3,5,-3
Cameron Reynolds,SF,5,40,0.25,0.417,0,2,3,5,2,0,0,0,2,15,6.5,0.417,19.2,0,-0.039,-8.1,-0.1,7998,200,250,80,2,3,2,-4,3,3.5,4,4,-3
Nick Richards,PF,18,63,0,0.444,0.636,4,7,11,2,0,0,3,7,15,5.5,0.542,11.5,0,0.026,-8,-0.1,7881,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Josh Richardson,SG,59,1790,0.33,0.498,0.917,51,144,195,153,61,24,79,130,715,11.9,0.537,18.4,2.4,0.066,-1.7,0.1,8096,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Grant Riller,PG,7,27,0.5,0.75,0,0,1,1,3,1,0,1,0,18,23.6,0.75,20.7,0.1,0.177,5.1,0,7881,200,300,100,1,4,2,-5,2,3,5,3,-3
Austin Rivers,SG,36,845,0.369,0.537,0.71,8,74,82,81,30,2,36,64,285,9.9,0.551,15.4,1.3,0.072,-1.9,0,7706,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Andre Roberson,SG,5,63,0.125,0.179,0.5,7,8,15,4,3,1,2,4,6,4.2,0.202,11.7,-0.1,-0.043,-6.1,-0.1,8537,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Duncan Robinson,SF,72,2262,0.408,0.614,0.827,7,243,250,127,43,20,81,181,942,11,0.628,16.6,3.7,0.079,-1,0.6,7781,200,250,80,2,3,2,-4,3,3.5,4,4,-3
Glenn Robinson III,SF,23,369,0.364,0.505,0.913,11,34,45,20,4,3,11,23,121,9,0.554,14,0.3,0.033,-4,-0.2,8189,200,250,80,2,3,2,-4,3,3.5,4,4,-3
Jerome Robinson,SG,17,305,0.262,0.353,0.8,4,34,38,25,12,6,19,31,83,4.1,0.4,16.7,-0.4,-0.057,-7,-0.4,8398,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Justin Robinson,PG,9,88,0.286,0.429,0.6,1,6,7,9,3,0,2,10,21,6,0.453,12.2,0,0.021,-6.8,-0.1,7560,200,300,100,1,4,2,-5,2,3,5,3,-3
Mitchell Robinson,C,31,853,0,0.653,0.491,113,139,252,17,35,45,26,86,256,17.7,0.642,11.8,3.4,0.192,1.2,0.7,7706,200,200,60,3,2,2,-3,4,4,3,5,-3
Isaiah Roby,PF,61,1425,0.294,0.52,0.744,89,252,341,107,52,37,113,162,533,11.9,0.555,17.7,1.3,0.043,-3.3,-0.5,7560,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Rajon Rondo,PG,45,770,0.404,0.526,0.941,18,92,110,199,37,4,79,53,242,13.2,0.544,17.2,1.3,0.081,-0.2,0.4,8186,200,300,100,1,4,2,-5,2,3,5,3,-3
Derrick Rose,PG,50,1279,0.388,0.511,0.866,20,110,130,209,49,19,78,56,734,18.3,0.55,25.8,3.1,0.118,1.9,1.3,7706,200,300,100,1,4,2,-5,2,3,5,3,-3
Terrence Ross,SG,46,1347,0.337,0.485,0.87,15,143,158,108,47,21,74,88,717,13.2,0.53,24.1,0.9,0.03,-2.3,-0.1,7488,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Terry Rozier,SG,69,2383,0.389,0.548,0.817,47,255,302,293,87,26,128,119,1407,17.1,0.575,24.4,5.2,0.105,1.6,2.2,7881,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Ricky Rubio,PG,68,1772,0.308,0.454,0.867,28,195,223,433,98,4,111,139,582,13.5,0.516,16,3.1,0.085,-1.9,0,8073,200,300,100,1,4,2,-5,2,3,5,3,-3
D'Angelo Russell,PG,42,1196,0.387,0.523,0.765,16,95,111,244,45,18,112,68,796,17.6,0.555,29.1,1.6,0.063,1.6,1.1,8073,200,300,100,1,4,2,-5,2,3,5,3,-3
Domantas Sabonis,PF,62,2231,0.321,0.564,0.732,150,592,742,415,76,33,213,203,1260,20.6,0.601,24.1,6.9,0.149,3.8,3.3,8302,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Luka Šamanić,PF,33,308,0.279,0.505,0.552,16,52,68,15,8,8,20,43,122,9.8,0.518,19.5,0.1,0.015,-4.9,-0.2,7998,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
JaKarr Sampson,PF,29,316,0.2,0.509,0.655,27,50,77,4,2,14,15,52,134,10.9,0.533,19,0.3,0.044,-7.5,-0.4,8302,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Dario Šarić,C,50,871,0.348,0.516,0.848,46,144,190,65,30,4,57,95,437,14.3,0.567,22.6,1.7,0.093,-2,0,8300,200,200,60,3,2,2,-3,4,4,3,5,-3
Tomáš Satoranský,SG,58,1307,0.356,0.578,0.848,30,112,142,271,40,14,96,89,447,13.8,0.614,15.2,3.1,0.113,-0.5,0.5,7969,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Dennis Schröder,SG,61,1956,0.335,0.484,0.848,30,181,211,351,70,13,163,159,941,13.8,0.543,22.9,3.8,0.093,-1.2,0.4,7887,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Mike Scott,PF,51,852,0.342,0.486,0.667,11,109,120,40,24,14,19,72,213,6.8,0.492,11.9,1,0.058,-2.8,-0.2,8182,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Jay Scrubb,SG,4,84,0.222,0.417,1,2,12,14,1,4,0,7,5,35,6.3,0.458,23.8,-0.1,-0.072,-10.9,-0.2,8209,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Collin Sexton,SG,60,2115,0.371,0.519,0.815,58,129,187,262,62,10,167,157,1460,18,0.573,29.7,3.5,0.08,-0.2,1,7476,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Landry Shamet,SG,61,1403,0.387,0.549,0.846,11,101,112,99,31,10,48,93,567,10.3,0.578,16.7,1.8,0.063,-2.4,-0.2,8537,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Iman Shumpert,SG,2,11,0,0.25,0,1,0,1,0,1,0,1,0,2,-0.4,0.25,19.8,0,-0.212,-12.6,0,8537,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Pascal Siakam,PF,56,2006,0.297,0.493,0.827,95,310,405,250,64,37,130,174,1196,17.7,0.547,26.3,4.2,0.101,0.8,1.4,8011,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Chris Silva,PF,15,92,1,0.656,0.733,7,20,27,6,1,6,10,24,32,11.5,0.708,15.9,0.2,0.101,-5.5,-0.1,7781,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Ben Simmons,PG,58,1877,0.3,0.56,0.613,93,324,417,401,93,35,173,171,829,18.3,0.584,20.2,6,0.153,2.9,2.3,8182,200,300,100,1,4,2,-5,2,3,5,3,-3
Anfernee Simons,SG,64,1104,0.426,0.569,0.807,14,126,140,89,18,8,43,96,502,12.3,0.589,18.3,1.8,0.078,-1,0.3,8360,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Deividas Sirvydis,SG,20,133,0.357,0.475,0.5,0,29,29,5,2,0,5,9,41,5.7,0.481,15.7,0,-0.01,-5.4,-0.1,7676,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Alen Smailagić,PF,15,84,0.4,0.481,0.333,6,10,16,4,3,5,5,11,28,8.9,0.472,17.6,0,0.015,-5.3,-0.1,8187,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Marcus Smart,PG,48,1581,0.33,0.489,0.79,36,131,167,273,72,23,96,126,627,13.8,0.539,18.4,3.3,0.1,-0.3,0.7,8109,200,300,100,1,4,2,-5,2,3,5,3,-3
Dennis Smith Jr.,PG,23,420,0.328,0.466,0.731,12,43,55,77,23,14,26,37,154,13.6,0.492,19,0.6,0.07,0.4,0.3,7676,200,300,100,1,4,2,-5,2,3,5,3,-3
Ish Smith,PG,44,924,0.367,0.465,0.576,22,128,150,172,32,13,41,62,295,11.6,0.473,15.8,1.1,0.056,-1.5,0.1,8398,200,300,100,1,4,2,-5,2,3,5,3,-3
Jalen Smith,PF,27,156,0.235,0.48,0.714,7,30,37,4,1,5,7,16,53,8.4,0.499,17.1,0.1,0.022,-6.1,-0.2,8300,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Tony Snell,SG,47,992,0.569,0.696,1,18,94,112,59,13,11,21,75,249,9.5,0.708,8.6,2,0.099,-0.5,0.4,8186,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Ray Spalding,C,2,19,0,0.5,0,2,2,4,0,0,2,3,3,4,0.8,0.41,17.6,-0.1,-0.184,-14.3,-0.1,7833,200,200,60,3,2,2,-3,4,4,3,5,-3
Cassius Stanley,SG,24,93,0.231,0.337,0.778,8,12,20,1,1,2,1,14,36,5.5,0.383,22,-0.1,-0.05,-11.2,-0.2,8302,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Lamar Stevens,PF,40,499,0.16,0.471,0.725,24,72,96,25,17,13,23,53,165,10.5,0.521,15.8,0.4,0.043,-4.2,-0.3,7476,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Isaiah Stewart,C,68,1455,0.333,0.578,0.696,159,294,453,59,39,86,67,184,537,16.4,0.597,15.5,4,0.132,-1.1,0.3,7676,200,200,60,3,2,2,-3,4,4,3,5,-3
Max Strus,SF,39,507,0.338,0.588,0.667,5,36,41,24,11,2,8,43,236,12.1,0.597,18.3,0.9,0.088,-2.2,0,7781,200,250,80,2,3,2,-4,3,3.5,4,4,-3
Edmond Sumner,SG,53,861,0.398,0.587,0.819,18,76,94,49,33,10,51,88,399,12.7,0.626,18.3,1.4,0.077,-2.8,-0.2,8302,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Jae'Sean Tate,SF,70,2043,0.308,0.554,0.694,132,242,374,178,85,36,98,222,794,13.8,0.576,16.4,3.8,0.088,-1.4,0.3,7833,200,250,80,2,3,2,-4,3,3.5,4,4,-3
Jayson Tatum,SF,64,2290,0.386,0.53,0.868,50,422,472,276,75,31,171,122,1692,21.3,0.576,30.8,6.5,0.137,3.9,3.4,8109,200,250,80,2,3,2,-4,3,3.5,4,4,-3
Jeff Teague,PG,55,950,0.439,0.496,0.848,15,73,88,132,34,12,64,56,371,12.3,0.562,17.7,1.6,0.079,-2.2,-0.1,8109,200,300,100,1,4,2,-5,2,3,5,3,-3
Garrett Temple,SG,56,1528,0.335,0.503,0.8,29,131,160,124,43,30,58,126,423,8.2,0.525,13.1,1.6,0.05,-3.1,-0.4,7969,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Tyrell Terry,PG,11,56,0,0.313,0.333,0,6,6,6,5,0,2,2,11,6,0.318,15.3,-0.1,-0.049,-5,0,8096,200,300,100,1,4,2,-5,2,3,5,3,-3
Daniel Theis,C,65,1601,0.322,0.593,0.673,93,263,356,108,41,57,66,167,627,15,0.609,15.6,4.3,0.128,0,0.8,8109,200,200,60,3,2,2,-3,4,4,3,5,-3
Brodric Thomas,SG,32,399,0.271,0.435,0.674,8,45,53,30,15,10,22,40,125,8,0.487,16.4,0.1,0.006,-4.4,-0.2,7476,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Isaiah Thomas,PG,3,48,0.25,0.389,1,1,3,4,5,1,0,6,3,23,2.4,0.412,29.7,-0.2,-0.179,-13.1,-0.1,8251,200,300,100,1,4,2,-5,2,3,5,3,-3
Khyri Thomas,SG,5,153,0.333,0.553,1,7,11,18,25,9,6,6,8,82,21.3,0.586,21.1,0.5,0.164,2.4,0.2,7833,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Matt Thomas,SG,45,326,0.338,0.5,0.857,7,37,44,19,4,0,14,18,139,9.1,0.522,19.5,0.2,0.031,-4.6,-0.2,8011,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Tristan Thompson,PF,54,1287,0,0.518,0.592,169,270,439,67,24,33,62,119,409,14.2,0.54,14.8,2.9,0.107,-2.5,-0.2,8109,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Sindarius Thornwell,SG,21,217,0.304,0.402,0.5,3,15,18,21,13,2,7,15,41,6.6,0.414,11.1,0,0.009,-4.7,-0.2,8251,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Matisse Thybulle,SG,65,1298,0.301,0.508,0.444,30,94,124,63,105,71,32,127,255,10.1,0.508,9.4,2.8,0.102,1.9,1.3,8182,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Killian Tillie,C,18,182,0.303,0.421,0.818,6,18,24,8,5,8,2,20,57,8.5,0.461,14.8,0.2,0.055,-3.7,-0.1,8157,200,200,60,3,2,2,-3,4,4,3,5,-3
Xavier Tillman Sr.,PF,59,1085,0.338,0.595,0.642,74,182,256,75,44,33,45,116,390,14.7,0.605,14.3,2.9,0.127,-0.2,0.5,8157,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Anthony Tolliver,PF,11,99,0.286,0.353,0.833,3,7,10,2,3,2,3,7,17,4,0.433,9.8,0.1,0.025,-7,-0.1,8182,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Obi Toppin,PF,62,683,0.306,0.56,0.731,26,112,138,29,17,15,23,55,253,12.7,0.574,15.9,1.5,0.109,-0.7,0.2,7706,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Juan Toscano-Anderson,SG,53,1107,0.402,0.667,0.71,29,205,234,150,41,26,61,111,301,12.6,0.676,11,3,0.13,0.8,0.8,8187,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Axel Toupane,SF,8,61,0.5,0.409,0.714,0,6,6,4,2,3,0,6,14,9,0.497,9.7,0.1,0.097,-3,0,8649,200,250,80,2,3,2,-4,3,3.5,4,4,-3
Karl-Anthony Towns,C,50,1689,0.387,0.555,0.859,133,396,529,225,39,57,160,186,1239,23.1,0.612,29.1,5.4,0.153,4.5,2.8,8073,200,200,60,3,2,2,-3,4,4,3,5,-3
Gary Trent Jr.,SG,58,1802,0.385,0.513,0.783,27,125,152,80,56,10,43,92,888,12.1,0.534,20.9,1.7,0.045,-2.3,-0.1,8360,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
P.J. Tucker,PF,52,1356,0.336,0.486,0.75,51,153,204,61,39,20,40,125,193,5.5,0.51,7.2,1,0.034,-4.1,-0.7,7833,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Rayjon Tucker,PG,14,68,0.286,0.556,0.737,1,10,11,6,2,0,4,8,34,15.1,0.645,19.2,0.2,0.166,-3.4,0,8182,200,300,100,1,4,2,-5,2,3,5,3,-3
Myles Turner,C,47,1455,0.335,0.557,0.782,63,243,306,48,40,159,67,165,592,15.3,0.599,16.4,3.3,0.11,0.4,0.9,8302,200,200,60,3,2,2,-3,4,4,3,5,-3
Jonas Valančiūnas,C,62,1755,0.368,0.606,0.773,253,523,776,112,35,57,100,179,1058,24.4,0.636,22.4,7.8,0.213,3,2.2,8157,200,200,60,3,2,2,-3,4,4,3,5,-3
Denzel Valentine,SG,62,1036,0.331,0.469,0.941,24,173,197,105,30,7,42,70,406,10.1,0.479,19.5,0.7,0.032,-2.7,-0.2,7969,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Jarred Vanderbilt,PF,64,1139,0.2,0.608,0.559,118,250,368,76,64,46,53,123,344,16.2,0.612,12.3,3.1,0.132,-0.1,0.5,8073,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Fred VanVleet,SG,52,1899,0.366,0.489,0.885,32,188,220,328,87,37,95,119,1019,16.8,0.534,23.9,4.3,0.108,2.5,2.2,8011,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Anderson Varejão,C,5,36,0,0.25,0.556,7,13,20,3,0,2,1,3,13,12.9,0.326,25.4,0,-0.029,-7.1,0,7476,200,200,60,3,2,2,-3,4,4,3,5,-3
Devin Vassell,SF,62,1056,0.347,0.492,0.843,24,150,174,56,43,18,22,88,341,10.6,0.524,14.3,1.5,0.069,-1.5,0.1,7998,200,250,80,2,3,2,-4,3,3.5,4,4,-3
Gabe Vincent,PG,50,655,0.309,0.476,0.87,10,46,56,67,21,2,34,79,242,7.6,0.498,19.1,0.2,0.011,-5.4,-0.6,7781,200,300,100,1,4,2,-5,2,3,5,3,-3
Noah Vonleh,PF,4,11,0,0,0,0,1,1,1,0,0,2,2,0,-19,0,19.8,-0.1,-0.488,-26.7,-0.1,8537,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Nikola Vučević,C,70,2348,0.4,0.54,0.84,146,671,817,269,65,48,126,137,1639,22.9,0.56,29.3,6.3,0.129,5.3,4.4,7488,200,200,60,3,2,2,-3,4,4,3,5,-3
Dean Wade,PF,63,1212,0.366,0.556,0.769,38,177,215,74,35,21,30,78,376,11.3,0.573,12.9,2,0.08,-1.3,0.2,7476,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Moritz Wagner,C,45,722,0.341,0.522,0.816,27,119,146,50,26,18,43,108,310,12.5,0.58,18.1,1.2,0.082,-2.6,-0.1,8398,200,200,60,3,2,2,-3,4,4,3,5,-3
Kemba Walker,PG,43,1369,0.36,0.514,0.899,16,154,170,212,48,12,88,61,829,17.7,0.559,26.1,3.3,0.115,2.1,1.4,8109,200,300,100,1,4,2,-5,2,3,5,3,-3
Lonnie Walker IV,SG,60,1522,0.355,0.502,0.814,14,141,155,101,29,15,65,101,669,9.8,0.523,20.1,0.4,0.012,-3.7,-0.7,7998,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
John Wall,PG,40,1288,0.317,0.458,0.749,17,112,129,275,42,31,141,46,823,15.4,0.503,31.7,-0.2,-0.007,-0.7,0.4,7833,200,300,100,1,4,2,-5,2,3,5,3,-3
Brad Wanamaker,PG,61,1053,0.188,0.411,0.891,18,87,105,174,43,11,71,94,336,9.5,0.489,16.9,0.9,0.039,-4,-0.5,8187,200,300,100,1,4,2,-5,2,3,5,3,-3
T.J. Warren,SF,4,117,0,0.529,0.8,2,12,14,5,2,0,4,16,62,11.6,0.56,21.6,0.1,0.045,-5.5,-0.1,8302,200,250,80,2,3,2,-4,3,3.5,4,4,-3
P.J. Washington,PF,64,1954,0.386,0.522,0.745,93,325,418,161,69,79,128,171,824,13.4,0.549,19.4,2.7,0.066,-0.9,0.6,7881,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Yuta Watanabe,SF,50,723,0.4,0.539,0.828,36,123,159,40,26,19,19,57,218,12.2,0.565,12.7,1.5,0.102,-0.7,0.2,8011,200,250,80,2,3,2,-4,3,3.5,4,4,-3
Tremont Waters,PG,26,238,0.395,0.494,0.941,5,16,21,62,15,1,27,17,99,14.6,0.541,21.4,0.4,0.08,0.3,0.1,8109,200,300,100,1,4,2,-5,2,3,5,3,-3
Paul Watson,SF,27,297,0.469,0.646,0.625,4,41,45,17,6,3,9,36,111,10.9,0.649,13.7,0.6,0.096,-1.3,0.1,8011,200,250,80,2,3,2,-4,3,3.5,4,4,-3
Quinndary Weatherspoon,SG,20,121,0.167,0.471,0.813,3,8,11,8,8,2,10,18,46,9.6,0.547,18.7,0.1,0.023,-5,-0.1,7998,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Russell Westbrook,PG,65,2369,0.315,0.474,0.656,109,641,750,763,89,23,312,190,1445,19.5,0.509,30.2,3.7,0.075,3.7,3.4,8398,200,300,100,1,4,2,-5,2,3,5,3,-3
Coby White,PG,69,2156,0.359,0.506,0.901,28,256,284,328,38,15,156,179,1041,12,0.54,22.5,2.4,0.052,-2.4,-0.2,7969,200,300,100,1,4,2,-5,2,3,5,3,-3
Derrick White,SG,36,1064,0.346,0.503,0.851,13,94,107,127,26,36,45,91,553,15,0.55,22.4,1.9,0.085,1.3,0.9,7998,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Hassan Whiteside,C,36,546,0,0.563,0.519,61,154,215,20,9,46,40,73,293,19.2,0.566,23.5,0.9,0.081,-2.2,0,8189,200,200,60,3,2,2,-3,4,4,3,5,-3
Greg Whittington,PF,4,12,0,0,0,0,0,0,0,0,0,0,0,0,-10.2,0,10.9,-0.1,-0.259,-17.2,0,8284,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Andrew Wiggins,PF,71,2364,0.38,0.543,0.714,82,265,347,167,67,70,126,159,1320,15,0.568,23.3,3.9,0.08,-0.4,1,8187,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Grant Williams,PF,63,1138,0.372,0.534,0.588,48,130,178,64,32,24,56,161,294,7.5,0.546,12.3,1.1,0.046,-3.7,-0.5,8109,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Kenrich Williams,PF,66,1426,0.444,0.596,0.571,84,189,273,152,55,17,76,143,526,14,0.599,15.3,2.8,0.096,-0.7,0.4,7560,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Lou Williams,PG,66,1423,0.399,0.464,0.867,21,117,138,225,47,6,108,62,749,14,0.519,25.7,1.7,0.056,-2.5,-0.2,8209,200,300,100,1,4,2,-5,2,3,5,3,-3
Patrick Williams,PF,71,1983,0.391,0.534,0.728,66,261,327,99,64,46,98,126,655,10.5,0.562,14.9,2.5,0.06,-2.4,-0.2,7969,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Robert Williams,C,52,985,0,0.721,0.616,133,225,358,94,43,91,52,105,417,25.7,0.719,15,5.3,0.258,6,2,8109,200,200,60,3,2,2,-3,4,4,3,5,-3
Zion Williamson,PF,61,2026,0.294,0.616,0.698,167,274,441,226,57,39,167,135,1647,27.1,0.649,29.8,8.7,0.205,5.8,4,8251,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
